ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,AGE_YEARS,EMPLOYED_YEARS,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,n_months,n_paid_off,n_no_loan,n_overdue_1_29,n_overdue_30_59,n_overdue_60_89,n_overdue_90_119,n_overdue_120_149,n_overdue_150plus,ever_defaulted,worst_status,recent_status
5008901,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-12,C,16,15,0,1,0,0,0,0,0,0,0,C
5008902,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-7,C,21,9,1,10,1,0,0,0,0,0,1,C
5008903,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-12,C,16,15,0,1,0,0,0,0,0,0,0,C
5008904,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-6,C,21,9,1,10,1,0,0,0,0,0,1,C
5008905,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-10,C,16,15,0,1,0,0,0,0,0,0,0,C
5008906,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-4,C,21,9,1,10,1,0,0,0,0,0,1,C
5008907,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-8,C,16,15,0,1,0,0,0,0,0,0,0,C
5008908,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-2,C,21,9,1,10,1,0,0,0,0,0,1,C
5008909,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-7,C,16,15,0,1,0,0,0,0,0,0,0,C
5008910,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-1,C,21,9,1,10,1,0,0,0,0,0,1,C
5008911,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-6,C,16,15,0,1,0,0,0,0,0,0,0,C
5008912,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,21,9,1,10,1,0,0,0,0,0,1,C
5008913,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-4,C,16,15,0,1,0,0,0,0,0,0,0,C
5008914,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,19,7,1,10,1,0,0,0,0,0,1,C
5008915,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-3,C,16,15,0,1,0,0,0,0,0,0,0,C
5008916,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,18,6,1,10,1,0,0,0,0,0,1,C
5008917,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-2,C,16,15,0,1,0,0,0,0,0,0,0,C
5008918,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,17,5,1,10,1,0,0,0,0,0,1,C
5008919,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,16,15,0,1,0,0,0,0,0,0,0,C
5008920,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,16,4,1,10,1,0,0,0,0,0,1,C
5008921,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,14,13,0,1,0,0,0,0,0,0,0,C
5008922,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,14,2,1,10,1,0,0,0,0,0,1,C
5008923,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,13,12,0,1,0,0,0,0,0,0,0,C
5008924,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,13,12,1,0,0,0,0,0,0,0,#NAME?,C
5008925,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,13,12,0,1,0,0,0,0,0,0,0,C
5008926,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,0,12,0,1,10,1,0,0,0,0,0,1,0
5008927,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,10,9,0,1,0,0,0,0,0,0,0,C
5008928,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,1,10,0,1,8,1,0,0,0,0,0,1,1
5008929,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,8,7,0,1,0,0,0,0,0,0,0,C
5008930,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,0,7,0,1,6,0,0,0,0,0,0,0,0
5008931,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,6,5,0,1,0,0,0,0,0,0,0,C
5008932,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,0,6,0,1,5,0,0,0,0,0,0,0,0
5008933,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,6,5,0,1,0,0,0,0,0,0,0,C
5008934,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,5,5,0,0,0,0,0,0,0,0,#NAME?,C
5008935,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,5,4,0,1,0,0,0,0,0,0,0,C
5008936,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,4,4,0,0,0,0,0,0,0,0,#NAME?,C
5008937,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,2,1,0,1,0,0,0,0,0,0,0,C
5008938,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,2,2,0,0,0,0,0,0,0,0,#NAME?,C
5008939,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,1,1,0,0,0,0,0,0,0,0,#NAME?,C
5008940,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,2,1,0,1,0,0,0,0,0,0,0,C
5008941,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,8,8,0,0,0,0,0,0,0,0,#NAME?,C
5008942,1,0,0,1,0,1,1,8,37.35,13.27,0,157500,-13642,-4846,1,0,1,0,2,-28,X,16,0,1,12,3,0,0,0,0,0,1,X
5008943,1,0,0,1,0,1,1,8,37.35,13.27,0,157500,-13642,-4846,1,0,1,0,2,0,X,15,0,15,0,0,0,0,0,0,0,#NAME?,X
5008944,1,0,0,1,0,1,1,8,37.35,13.27,0,157500,-13642,-4846,1,0,1,0,2,-8,X,16,0,1,12,3,0,0,0,0,0,1,X
5008945,1,0,0,1,0,1,1,8,37.35,13.27,0,157500,-13642,-4846,1,0,1,0,2,-15,X,16,0,1,12,3,0,0,0,0,0,1,X
5008946,1,0,0,1,0,1,1,8,37.35,13.27,0,157500,-13642,-4846,1,0,1,0,2,-33,X,16,0,1,12,3,0,0,0,0,0,1,X
5008947,0,0,1,0,1,1,1,6,42.39,3.85,0,135000,-15484,-1408,1,1,1,0,2,0,X,13,0,13,0,0,0,0,0,0,0,#NAME?,X
5008948,0,0,1,0,1,1,1,6,42.39,3.85,0,135000,-15484,-1408,1,1,1,0,2,-5,X,13,0,13,0,0,0,0,0,0,0,#NAME?,X
5008949,0,0,1,0,1,1,1,6,42.39,3.85,0,135000,-15484,-1408,1,1,1,0,2,0,X,1,0,1,0,0,0,0,0,0,0,#NAME?,X
5008950,0,0,1,0,1,1,1,6,42.39,3.85,0,135000,-15484,-1408,1,1,1,0,2,0,X,13,0,13,0,0,0,0,0,0,0,#NAME?,X
5008951,0,0,1,0,1,1,1,0,28.26,7.69,1,225000,-10321,-2808,1,0,0,0,3,0,C,46,40,0,6,0,0,0,0,0,0,0,C
5008952,0,0,1,0,1,1,1,0,28.26,7.69,1,225000,-10321,-2808,1,0,0,0,3,-9,X,46,0,46,0,0,0,0,0,0,0,#NAME?,X
5008953,0,0,1,0,1,1,1,0,28.26,7.69,1,225000,-10321,-2808,1,0,0,0,3,0,X,28,0,28,0,0,0,0,0,0,0,#NAME?,X
5008954,0,0,1,0,1,1,1,0,28.26,7.69,1,225000,-10321,-2808,1,0,0,0,3,0,0,6,0,0,6,0,0,0,0,0,0,0,0
5008955,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,0,0,5,0,0,5,0,0,0,0,0,0,0,0
5008956,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,0,C,40,35,0,5,0,0,0,0,0,0,0,C
5008957,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,-12,C,40,35,0,5,0,0,0,0,0,0,0,C
5008958,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,0
5008959,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,0,C,16,4,0,12,0,0,0,0,0,0,0,C
5008960,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,0,C,29,17,0,12,0,0,0,0,0,0,0,C
5008962,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,0,C,27,17,1,9,0,0,0,0,0,0,0,C
5008963,1,1,1,0,1,1,1,4,48.69,4.69,0,135000,-17785,-1712,1,0,0,0,2,0,C,39,29,1,9,0,0,0,0,0,0,0,C
5008966,0,0,1,0,1,1,1,0,43.88,2.43,0,157500,-16027,-889,1,0,1,0,2,0,0,16,0,1,14,1,0,0,0,0,0,1,0
5008967,0,0,1,0,1,1,1,0,43.88,2.43,0,157500,-16027,-889,1,0,1,0,2,0,0,22,0,8,14,0,0,0,0,0,0,0,0
5008971,0,0,1,0,1,1,1,0,43.88,2.43,0,157500,-16027,-889,1,0,1,0,2,-51,0,5,0,0,5,0,0,0,0,0,0,0,0
5008973,0,0,1,0,1,1,1,0,43.88,2.43,0,157500,-16027,-889,1,0,1,0,2,0,0,5,0,0,5,0,0,0,0,0,0,0,0
5008974,1,0,1,2,1,1,1,0,61.11,999.98,0,112500,-22319,365243,1,0,0,0,2,-47,0,3,0,1,2,0,0,0,0,0,0,0,0
5008975,1,0,1,2,1,1,1,0,61.11,999.98,0,112500,-22319,365243,1,0,0,0,2,-28,X,22,0,1,19,2,0,0,0,0,0,1,X
5008976,1,0,1,2,1,1,1,0,61.11,999.98,0,112500,-22319,365243,1,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
5008977,1,0,1,2,1,1,1,0,61.11,999.98,0,112500,-22319,365243,1,0,0,0,2,0,0,24,0,0,24,0,0,0,0,0,0,0,0
5008978,1,0,1,2,1,1,1,0,61.11,999.98,0,112500,-22319,365243,1,0,0,0,2,-17,X,22,0,1,19,2,0,0,0,0,0,1,X
5008979,1,0,1,2,1,1,1,0,61.11,999.98,0,112500,-22319,365243,1,0,0,0,2,0,C,38,30,0,8,0,0,0,0,0,0,0,C
5008980,1,0,1,2,1,1,1,0,61.11,999.98,0,112500,-22319,365243,1,0,0,0,2,-8,C,51,33,0,18,0,0,0,0,0,0,0,C
5008981,0,1,1,3,1,1,1,6,57.15,6.52,0,112500,-20874,-2381,1,0,1,0,2,0,X,11,0,11,0,0,0,0,0,0,0,#NAME?,X
5008983,0,1,1,3,1,1,1,6,57.15,6.52,0,112500,-20874,-2381,1,0,1,0,2,-47,X,12,0,12,0,0,0,0,0,0,0,#NAME?,X
5008984,0,1,1,3,1,1,1,6,57.15,6.52,0,112500,-20874,-2381,1,0,1,0,2,0,C,59,3,56,0,0,0,0,0,0,0,#NAME?,C
5008986,0,1,1,3,1,1,1,6,57.15,6.52,0,112500,-20874,-2381,1,0,1,0,2,0,X,11,0,11,0,0,0,0,0,0,0,#NAME?,X
5008987,0,1,1,3,1,1,1,6,57.15,6.52,0,112500,-20874,-2381,1,0,1,0,2,0,C,11,8,0,3,0,0,0,0,0,0,0,C
5008988,0,1,1,3,1,1,1,6,57.15,6.52,0,112500,-20874,-2381,1,0,1,0,2,0,X,17,0,17,0,0,0,0,0,0,0,#NAME?,X
5008991,1,1,1,0,1,3,1,9,45.4,3.27,0,270000,-16582,-1194,1,1,1,0,1,-2,X,29,0,3,26,0,0,0,0,0,0,0,X
5008992,1,1,1,0,1,3,1,9,45.4,3.27,0,270000,-16582,-1194,1,1,1,0,1,0,C,7,5,1,1,0,0,0,0,0,0,0,C
5008993,1,1,1,0,1,3,1,9,45.4,3.27,0,270000,-16582,-1194,1,1,1,0,1,0,0,18,0,0,18,0,0,0,0,0,0,0,0
5008994,1,1,1,0,1,3,1,9,45.4,3.27,0,270000,-16582,-1194,1,1,1,0,1,0,0,20,0,3,17,0,0,0,0,0,0,0,0
5008995,1,1,1,0,1,3,1,9,45.4,3.27,0,270000,-16582,-1194,1,1,1,0,1,-10,X,19,0,1,18,0,0,0,0,0,0,0,X
